# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;32414;RLNWATWWPRB;Raiffeisenbank Wienerwald eGen
AT;32415;RLNWATWWOWS;Raiffeisenbank Oberes Waldviertel eGen
AT;32426;RLNWATWW426;Raiffeisenbank Langenlois eGen
AT;32438;RLNWATW1438;Raiffeisenbank Kreuzenstein eGen
AT;32447;RLNWATWWLFD;Raiffeisenbank Traisen-Gölsental eGen
AT;32455;RLNWATW1477;Raiffeisenbank Region Schallaburg eGen
AT;32477;RLNWATW1477;Raiffeisenbank Region Schallaburg eGen
AT;32497;RLNWATW1880;Raiffeisenbank Tulln-Klosterneuburg eGen
AT;32501;RLNWATWWMIB;Raiffeisenbank im Weinviertel eGen
AT;32551;RLNWATWWNSD;Raiffeisenkasse Neusiedl a.d.Zaya eGen
AT;32585;RLNWATWWOBG;Raiffeisenbank Region St. Pölten eGen
AT;32589;RLNWATW1589;Raiffeisenbank Gross Gerungs eGen
AT;32614;RLNWATWWODO;Raiffeisenkasse Orth a.d. Donau eGen
AT;32615;RLNWATWWZWE;Raiffeisenbank Region Waldviertel Mitte eGen
AT;32631;RLNWATWWASP;Raiffeisenbank Region Wiener Alpen eGen
AT;32633;RLNWATWWGTD;Raiffeisen Regionalbank Mödling eGen
AT;32642;RLNWATWWWRN;Raiffeisenbank Wr. Neustadt-Schneebergland eGen
AT;32647;RLNWATWWASP;Raiffeisenbank Region Wiener Alpen eGen
AT;32651;RLNWATWW939;Raiffeisenbank Mittleres Mostviertel eGen
